股票代码|股票名称|第一个行情日期|最后一个行情日期（0为无最后行情，即股票还在上市中）|流通股数（注：请忽略该行）
1|上证指数|19901219|20210520|0
2|Ａ股指数|19901219|20210520|0
3|Ｂ股指数|19920221|20210520|0
4|工业指数|19970124|20210506|0
5|商业指数|19970124|20210506|0
6|地产指数|19970124|20210506|0
7|公用指数|19960704|20210506|0
8|综合指数|20000824|20210506|0
9|上证380|20050104|20210513|0
10|上证180|20210401|20210506|0
11|基金指数|20210401|20210506|0
12|国债指数|20210401|20210506|0
15|红利指数|20210401|20210506|0
16|上证50|20210401|20210506|0
17|新综指|20210401|20210506|0
18|180金融|20210401|20210506|0
19|治理指数|20210401|20210506|0
20|中型综指|20210401|20210506|0
21|180治理|20210401|20210506|0
22|沪公司债|20210401|20210506|0
25|180基建|20210401|20210506|0
26|180资源|20210401|20210506|0
27|180运输|20210401|20210506|0
28|180成长|20210401|20210506|0
29|180价值|20210401|20210506|0
30|180R成长|20210401|20210506|0
31|180R价值|20210401|20210506|0
32|上证能源|20210401|20210506|0
33|上证材料|20210401|20210506|0
34|上证工业|20210401|20210506|0
35|上证可选|20210401|20210506|0
36|上证消费|20210401|20210506|0
37|上证医药|20210401|20210506|0
38|上证金融|20210401|20210506|0
39|上证信息|20210401|20210506|0
40|上证电信|20210401|20210506|0
41|上证公用|20210401|20210506|0
42|上证央企|20210401|20210506|0
43|超大盘|20210401|20210506|0
44|上证中盘|20210401|20210506|0
45|上证小盘|20210401|20210506|0
46|上证中小|20210401|20210506|0
47|上证全指|20210401|20210506|0
48|责任指数|20210401|20210506|0
49|上证民企|20210401|20210506|0
50|50等权|20210401|20210506|0
51|180等权|20210401|20210506|0
52|50基本|20210401|20210506|0
53|180基本|20210401|20210506|0
54|上证海外|20210401|20210506|0
55|上证地企|20210401|20210506|0
56|上证国企|20210401|20210506|0
57|全指成长|20210401|20210506|0
58|全指价值|20210401|20210506|0
59|全R成长|20210401|20210506|0
60|全R价值|20210401|20210506|0
61|沪企债30|20210401|20210506|0
62|上证沪企|20210401|20210506|0
63|上证周期|20210401|20210506|0
64|非周期|20210401|20210506|0
65|上证龙头|20210401|20210506|0
66|上证商品|20210401|20210506|0
67|上证新兴|20210401|20210506|0
68|上证资源|20210401|20210506|0
69|消费80|20210401|20210506|0
70|能源等权|20210401|20210506|0
71|材料等权|20210401|20210506|0
72|工业等权|20210401|20210506|0
73|可选等权|20210401|20210506|0
74|消费等权|20210401|20210506|0
75|医药等权|20210401|20210506|0
76|金融等权|20210401|20210506|0
77|信息等权|20210401|20210506|0
78|电信等权|20210401|20210506|0
79|公用等权|20210401|20210506|0
90|上证流通|20210401|20210506|0
91|沪财中小|20210401|20210506|0
92|资源50|20210401|20210506|0
93|180分层|20210401|20210506|0
94|上证上游|20210401|20210506|0
95|上证中游|20210401|20210506|0
96|上证下游|20210401|20210506|0
97|高端装备|20210401|20210506|0
98|上证F200|20210401|20210506|0
